,Unnamed: 0,old_api_id,item_id,item_name,leg_loc_id,brand_id,brand_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten,usda_fields
53,53,,d3ea164017b0d0ccfa0614eb,"Cappuccino, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,160.0,,8.0,5.0,0.0,,,25.0,110.0,13.0,0.0,12.0,8.0,,,,,,,1.0,Serving,,,,,,,,,,,
54,54,,d3ea16403cf142d0d64438d7,"Spicy Chicken McNuggets, 6 Piece",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,250.0,,16.0,3.0,0.0,,,45.0,540.0,12.0,0.0,0.0,14.0,,,,,,,6.0,Piece,,,,,,,,,,,
55,55,,d3ea16406a58f9f173c37b01,"OREO Shamrock McFlurry, Snack Size",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,370.0,,11.0,5.0,0.0,,,25.0,170.0,59.0,1.0,44.0,8.0,,,,,,,1.0,Serving,,,,,,,,,,,
56,56,,d3ea1640761e9de57ecf5531,"Caramel Macchiato, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,400.0,,12.0,7.0,0.0,,,35.0,510.0,61.0,0.0,56.0,13.0,,,,,,,1.0,Serving,,,,,,,,,,,
57,57,,d3ea16408050e2aad54e3997,Cinnamon Roll,114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,560.0,,17.0,8.0,0.0,,,35.0,490.0,92.0,8.0,46.0,9.0,,,,,,,1.0,Serving,,,,,,,,,,,
58,58,,d3ea16408a9a43ce8e418346,"French Vanilla Latte, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,290.0,,9.0,5.0,0.0,,,30.0,125.0,42.0,0.0,41.0,10.0,,,,,,,1.0,Serving,,,,,,,,,,,
59,59,,d3ea16409b0bf6ba19299364,"Cappuccino, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,210.0,,11.0,6.0,0.0,,,35.0,140.0,17.0,0.0,16.0,11.0,,,,,,,1.0,Serving,,,,,,,,,,,
60,60,,d3ea1640aff1a1aee54a5ad3,"Premium Roast Coffee, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,0.0,,0.0,0.0,0.0,,,0.0,30.0,2.0,0.0,0.0,2.0,,,,,,,1.0,Serving,,,,,,,,,,,
61,61,,d3ea1640ba4c13e673ca5be9,"Iced Caramel Coffee, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,270.0,,9.0,6.0,0.0,,,35.0,440.0,46.0,0.0,39.0,5.0,,,,,,,1.0,Serving,,,,,,,,,,,
62,62,,d3ea1640bd298522999e0982,Spicy Crispy Chicken Sandwich,114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,530.0,,26.0,4.0,0.0,,,65.0,1230.0,47.0,1.0,9.0,27.0,,,,,,,1.0,Serving,,,,,,,,,,,
63,63,,d3ea1640cd1dec7b7a67acd9,"Spicy Chicken McNuggets, 20 Piece",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,840.0,,55.0,10.0,0.0,,,150.0,1810.0,40.0,1.0,2.0,48.0,,,,,,,20.0,Piece,,,,,,,,,,,
64,64,,d3ea1640d4f288576d406579,"McCafe Pumpkin Spice Latte, Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,240.0,,7.0,4.0,0.0,,,20.0,115.0,36.0,0.0,35.0,8.0,,,,,,,1.0,Serving,,,,,,,,,,,
65,65,,d3ea4013203cab54931de4e2,"Iced Coffee Sugar Free Vanilla, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2022-01-06T20:12:42.000Z,,,100.0,,9.0,6.0,0.0,,,30.0,65.0,7.0,0.0,2.0,2.0,,,,,,,485.0,ml,,,,,,,,,,,
66,66,,6924041649d414a9a2da98b6,"Diet Coke, Extra Small",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,0.0,,0.0,0.0,0.0,,,0.0,10.0,0.0,0.0,0.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
67,67,,6924041697c5abfa9ca90782,"Iced Caramel Macchiato, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,370.0,,10.0,6.0,0.0,,,30.0,490.0,58.0,0.0,53.0,11.0,,,,,,,1.0,Serving,,,,,,,,,,,
68,68,,69240416ff794117b94f1bf6,"Minute Maid Blue Raspberry Slushie, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,240.0,,0.0,0.0,0.0,,,0.0,25.0,66.0,0.0,65.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
