brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,images_front_full_url,updated_at,section_id
K & W Cafeterias,Italian Seafood Salad,513fbc1283aa2dc80c000253,513fc9c4673c4fbc260006ac,null,1,Meat Salads - Italian Seafood Salad,null,116,18,2,0,null,null,null,30,1273,12,1,0,11,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:34:58+00:00,3192
Port of Subs,Mayonnaise,513fbc1283aa2dc80c00007c,513fc99c927da704080074ba,null,1,Add-Ons and Condiments - Mayonnaise,null,97,97,11,1,0,null,null,5,73,0,0,0,0,null,null,null,null,null,null,0.5,oz.,14.18,null,2014-12-30T07:34:11+00:00,1393
Winchell's Donut House,"Tea - Hot Brewed, 16 oz",513fbc1283aa2dc80c00022c,513fc9c4673c4fbc260003c2,null,1,"DRINKS - Tea - Hot Brewed, 16 oz",null,0,0,0,0,0,null,null,0,15,0,0,0,0,0,0,2,0,null,null,16,fl oz,454,null,2014-12-30T07:34:38+00:00,1447
Chili's,Lighter Choice 6 oz Classic Sirloin,513fbc1283aa2dc80c000022,534449319a631f1645ecf5a7,null,1,LIGHTER CHOICES - Lighter Choice 6 oz Classic Sirloin,null,250,60,7,3,0,null,null,65,1450,12,5,3,37,null,null,null,null,null,null,1,serving,null,null,2014-12-30T08:19:03+00:00,21403
Uno Chicago Grill,Kid's Chicken Caesar Salad,513fbc1283aa2dc80c00021e,513fc99c927da704080073a3,null,1,KIDS MENU - Kid's Chicken Caesar Salad,null,310,170,19,5,0,null,null,75,910,12,2,2,25,150,35,15,10,null,null,232,g,116,null,2014-12-30T07:34:03+00:00,23610
Dairy Queen,Turtle Pecan Cluster Blizzard - Mini,513fbc1283aa2dc80c000027,513fc996927da70408003331,null,1,BLIZZARD TREATS - Turtle Pecan Cluster Blizzard - Mini,null,400,170,18,10,0,null,null,30,180,53,1,40,8,15,0,25,10,null,null,198,grams,null,null,2014-12-30T07:23:53+00:00,21367
Sizzler,Blue Cheese Dressing,521b95434a56d006cae2967f,534449777ba4ca15456f4fe0,null,1,,null,320,271,30,3.3,0,null,null,6.3,498,10,0.2,9.2,1.8,2,1,5,1,null,null,1,serving,null,null,2014-12-30T08:18:53+00:00,21607
Godfather's Pizza,"Humble Pie, Thin Crust, Large",513fbc1283aa2dc80c00015e,5266a2329f05a39eb300f98b,null,1,"Pizza - Humble Pie, Thin Crust, Large",null,300,159,18,6,0,null,null,35,570,19,1,1,13,null,null,null,null,null,null,104,g,null,null,2014-12-30T08:03:53+00:00,21672
Robeks,South Pacific Squeeze Smoothies 12 oz.,513fbc1283aa2dc80c000176,513fc999927da70408005af3,null,1,Smoothies - South Pacific Squeeze Smoothies - 12 oz.,null,200,null,1,null,null,null,null,null,null,47,2,36,2,0,196,4,4,null,null,1,serving,null,null,2014-12-30T07:31:17+00:00,null
Seasonal Specialties,Artisan White Ciabatta Roll,53022ccebf41bf4b1c000001,ae497599493a94dd51390051,null,1,,null,106,9,1,0,0,null,null,0,230,21,1,0,4,null,null,null,null,null,null,1,roll,null,null,2014-10-31T17:16:57+00:00,25770
